,Unnamed: 0,Unnamed: 0.1,artist,track,position,date,lyrics,genius_artist
10,28,68,The D.O.C.,The D.O.C. & The Doctor,19,1989-11-18,NaN,NaN
11,29,74,Donald-D,F.B.I.,25,1989-11-18,"

People of the world
There's a serious problem
And it's called crack
I'm telling you
Stay away from it
It makes you do crazy things

[ VERSE 1 ]
Disruption, disorder will nourish, not justify
Those that live at the F.B.I
Look at mama's baby comin home high
As she runs with tears in her eyes
Crack will snatch your sister, your father, your mother
Your brother, whole lotta others
Situation number one, that son of a gun
Look what the brother has done
He destroyed his credibility and the trust in me
And he used to be down with the D
His mind is hungry for a piece of the rock
So he walks up and down the block
Fiendin, schemin, no more is he dreamin
His life is controlled by the force of beamin
Scotty, he's gettin deeper in the sauce
In other words, the brother is lost

[ Chorus ]
	(At the F.B.I.)
	(Free Base Institute)
	That's where they go to get high   (3x)

[ VERSE 2 ]
She's outta control on the a.m. stroll
24-7 her body is sold
She used to be the neighborhood fly girl
But now the base pipe has entered her world
I saw her one night in an alley slobbin the knob
To her it's a full-time job
The sucker with her was lookin for cheap sex
For 50 cents she said I could be next
So I snatched the bitch by her nappy weave
And I said, ""Girlfriend, please
You better check into a rehabilitation
Cause you're a fuckin crack patient""
The bitch dissed me, swung and missed me
Then she asked, could she kiss me
It was the crack on full attack
That had this beautiful sister trapped

[ Chorus ]

[ VERSE 3 ]
I'm makin a point
While you smoke your joint
While you point at each other
Let my point reach you
Crack is not only a ghetto drug
It's a drug in the high class too
Don't be fooled by the rich and famous
Cause see, they will try to blame this
On the people from the street, so they could keep
Out of the media, but they can't sweep it
Under the rug, they caught the drug bug
And their own grave has been dug
Then you read about it, a star in rehab
Now it's time for me to take a stab
At the sport figures, your idol, your hero
After the game: ""Yo, yo, let's get a kilo""
AWOL from practice, didn't show for the game
Because of the pipe and flame
Substance abuse has made another star go under
With the force of thunder

[ Chorus ]

[ VERSE 4 ]
Little Johnny and Tommy saw their mommy
Hittin the pipe with her best friend Conny
She looked like she suffered from malnutrition
The kids are hungry, no food in the kitchen
Their gear's been worn for a month and a half
That was the last time they had a bath
Cause the crack has the man command
The welfare check to the dopeman

[ Chorus ]

(Don't) (Don't) (Don't) (Don't do it)
(Do it) (do it) (do it)
Baby) (baby) (baby)

[ VERSE 5 ]
I see baseheads in a state of their own
In the zone where the baseheads roam
And on the same block are the ones who sell to them
So I walked up to money makin Slim
And said, ""Do you consider you're helpin get rid of
Our brothers and sisters?"" He did admit a
Touch of guilt, but I saw it in his eyes
That the brother was tellin me lies
He said, ""A man has to do what a man has to do""
As he guzzled the Ol' E brew
His point of view was, if he wasn't drug dealin
He would be out there stealin or killin
In a world of confusion it's no illusion
Game of life, people are losin
Boozin, cocaine crack abusin
On the devil's side you are choosin

[ Chorus ]

",Donald-D
12,30,92,Ice Cream Tee,Let's Work,18,1989-11-25,NaN,NaN
13,31,98,Gucci Crew II,Five Dollar High,24,1989-11-25,NaN,NaN
14,32,114,Arabian Prince,She's Got A Big Posse,15,1989-12-02,NaN,NaN
15,33,124,Body & Soul,Dance To The Drummer's Beat,25,1989-12-02,NaN,NaN
16,36,167,Black Rock 'N' Ron,True Feelings,18,1989-12-16,NaN,NaN
17,37,168,Steady B,Going Steady,19,1989-12-16,NaN,NaN
18,38,169,Grandmaster Slice & Izzy Chill,Electric Slide,20,1989-12-16,NaN,NaN
19,40,173,The Young And The Restless,Poison Ivy,24,1989-12-16,NaN,NaN
20,41,193,Redhead Kingpin & The F.B.I.,Pump It Hottie,19,1989-12-23,NaN,NaN
21,44,223,Wreckx-N-Effect,Juicy,24,1989-12-30,NaN,NaN
22,45,224,Chubb Rock,Stop That Train,25,1989-12-30,NaN,NaN
23,46,272,Serious-Lee-Fine,Nothing Can Stop Us,23,1990-01-13,NaN,NaN
24,48,298,Queen Latifah Featuring Monie Love,Ladies First,24,1990-01-20,"

[Queen Latifah]
The ladies will kick it, the rhyme that is wicked
Those that don't know how to be pros get evicted
A woman can bear you, break you, take you
Now it's time to rhyme, can you relate to
A sister dope enough to make you holler and scream

[Monie Love]
Ayo, let me take it from here, Queen...
Excuse me but I think I'm about do
To get into precisely what I am about to do
I'm conversating to the folks that have no whatsoever clue
So listen very carefully as I break it down for you
Merrily merrily merrily merrily hyper happy overjoyed
Pleased with all the beats and rhymes my sisters have employed
Slick and smooth throwing down the sound totally a yes
Let me state the position: Ladies first, yes? (Yes)

(Yeah, there's going to be some changes in here)

[Monie Love]
Believe me when I say being a woman is great, you see
I know all the fellas out there will agree with me
Not for being one but for being with one
Because when it's time for loving it's the woman that gets some
Strong, stepping, strutting, moving on
Rhyming, cutting, and not forgetting
We are the ones that give birth
To the new generation of prophets because it's Ladies First

[Queen Latifah]
I break into a lyrical freestyle
Grab the mic, look into the crowd and see smiles
Cause they see a woman standing up on her own two
Sloppy slouching is something I won't do
Some think that we can't flow (can't flow)
Stereotypes, they got to go (got to go)
I'm a mess around and flip the scene into reverse
(With what?) With a little touch of ""Ladies First""

Who said the ladies couldn't make it, you must be blind
If you don't believe, well here, listen to this rhyme
Ladies first, there's no time to rehearse
I'm divine and my mind expands throughout the universe
A female rapper with the message to send the
Queen Latifah is a perfect specimen

[Monie Love]
My sister, can I get some?

[Queen Latifah]
Sure, Monie Love, grab the mic and get dumb

[Monie Lovie]
Yo, praise me not for simply being what I am
Born in L-O-N-D-O-N and sound American
You dig exactly where I'm coming from
You want righteous rhyming, I'mma give you some
To enable you to aid yourself and get paid
And the material that has no meaning I wish to slay
Pay me every bit of your attention
Like mother, like daughter, I would also like to mention
I wish for you to bring me to, bring me to the rhythm
Of which is now systematically given
Desperately stressing I'm the daughter of a sister
Who's the mother of a brother who's the brother of another
Plus one more; all four
Have a job to do, we doing it
Respect due, to the mother who's the root of it
And next up is me, the M-O-N-I-E L-O-V-E
And I'm first cause I'm a L-A-D-I-E

[Queen Latifah]
Contact and in fact, the style, it gets harder
Cooling on the scene with my European partner
Laying down track after track, waiting for the climax
When I get there, that's when I tax
The next man, or the next woman
It doesn't make a difference, keep the competition coming
And I'll recite the chapter in verse
The title of this recital is ""Ladies First""

Step out into the night
Queens of civilization are on the mic
The scene is right, the crowd is hype
I expel the wack and those who bite
Why, cause I'm that type
Swaying with beats 45 King style
He wants me to sing but I swing, so meanwhile
A footnote for the opposite sex
Monie ripped the mic, I rocked it next
Plex, you never catch me at my worst
You get the drift? It's Ladies First

",Queen Latifah
25,51,346,Mr. Lee,Get Busy,22,1990-02-03,NaN,NaN
26,52,347,Rodney O & Joe Cooley,Say It Loud,23,1990-02-03,NaN,NaN
27,53,348,T-Ski,Pump That Beat,24,1990-02-03,NaN,NaN
28,54,349,Divine Styler Feat. The Scheme Team,Ain't Sayin' Nothin',25,1990-02-03,NaN,NaN
29,56,387,The 2 Live Crew,C'mon Babe,13,1990-02-17,"

BM = Brother Marquis
FKI = Fresh Kid Ice

Intro: (sound of woman being fucked)

Verse 1
[BM] When the party's over, we can get together
Go to my house and fuck forever
And do whatever comes to mind
Let me stick my dick in your behind
You can pour me a glass of Dom Perignon
Then suck my dick until I cum
Soft is your body, tender is your kiss
C'mon, baby, we can do this!
[FKI] No need to act stuck-up, pretty and seditty
Got a funky disposition and you think you're witty
You're not used to people saying things like this
It's called criticism, and not a diss
I only give compliments when they are due
Now I'm gonna tell you all the truth
You claim to be a virgin, I mean the purest
I'll be gentle, baby, cause we can do this!

Verse 2
[BM] Love is the key to end all your woes
You'll be my bitch, not a dirty ho
Together as one we will be
I'll be fucking you and you'll be sucking me
Then lick my ass up and down
Lick it 'till your tongue turns doo-doo brown
Don't try to be slick and give me a kiss
C'mon, baby, we can do this!
[FKI] Bitch, it's time to spend the night
Let's walk the beach in the moonlight
Holding each other like lovers do
When the pussy's wet, I'll know what to do
Makin' love, holdin' you near
Screams and moans is all I hear
Quick is your tongue, soft is your lips
Suck it, bitch, cause you can do this!

Verse 3
[BM] Let's get it goin' on, let's act a fool
Listen and learn while I take you to school
You say you don't fuck on the first date?
Then fuck you, bitch! I ain't gonna wait
Cause my dick is hard and my back is strong
I'll find another bitch to get it on
Cause now is the time so stop the bullshit
C'mon, baby, we can do this!
[FKI] As you move your body, the shit you say
Will make any man want to stay
Cause being with you is all I ask
And fucking you will be my task
My lonely nights will be filled with fun
No more clubs and sex on the run
Just suck this dick, while here I lay
You can do this, so c'mon, babe!

(Mixx cuts ""Fuck me, bitch!"")

Verse 4
[BM] Bitch, you say you's gonna give me some
Now you wanna start acting dumb
You wanna play cat and mouse
When I catch you, I'mma stick my dick in your mouth
Now stop the teasin' and start the pleasin'
Just fuck me good until I skeet
Bitch, stop fakin', you need to quit it
C'mon, baby, cause we can do this!
[FKI] Step to me and fall to your knees
Suck this dick, put me at ease
Do something special you know I like
Smokin' head and please don't bite
Slow and easy I pull the seat back
Up and down, as I climax
Steady in motion, I quietly say
We can do this, so suck it, babe!

Woman's voice:
""I think that type of sexual activity is disgusting!""

",2 Live Crew
30,57,393,Def Dames,976-Boom,19,1990-02-17,NaN,NaN
31,58,394,Kwame,Sweet Thing,20,1990-02-17,NaN,NaN
32,62,424,Maestro Fresh-Wes,Let Your Back Bone Slide,25,1990-02-24,"

INTRO
This is a throw-down, a showdown
Hell no, I can't slow down
It's gonna go
""Down""
""First Offence,"" ""on the mix""
""Down, go on and break""
""Down""
""O.K. party people in the house""
""May I have your attention please""
""In a moment the beat will be played in many parts""
""Come on and break""
""Many parts, many""
""1"", ""2"", ""3""
""Come on and break""

[Maestro Fresh Wes]
This jam is amplified, so just glide (glide)
And let your backbone slide

You listen to every word I say
Every verb you heard I play snaps a vertabrae
You try to cover, a hover me, a roast, a fake
A flag, then I run a post
Toast, I'm the most
D-E-F's how it goes
No X's or O's or tic-tac-toes
LTD knows, this ain't a game, I'm on a mission
Call me a hip-hop, tip-tac-tition
I rap just like a slab of clay that's shapeless
Jeff ain't no shimmer, no glass is tasteless
A universe without light is lifeless
That's why I always take time to write this
I mold it in my hands before I start chiselin
Could be a rain, or brainstorm, or drizzlin
Sun could be shining, sun could be showerin
Practice make perfect, and I'm powerin, flowerin
My lyrics are awesome
Tunin' from human, bloomin' a blossom
Blowing away blockades and barracades
Make ya black and blue from the blast and the blaze
It's a bloodsport, bloods builds up back
I make your vision go blurry
While your brain goes black into oblivion
Beats from box to box to bates
Rocks from blocks and blocks
Let your backbone slide

[Maestro Fresh Wes]
Just let it slide y'all, I don't give a (DAMN! damn)
If ya backbone quiver
Man oh man, watch ya swiver
Wind some twine your spine while your slither
It's contagious, an epidemic
You try to lift, you're cool, but it fell again
Rap scholar, soul like a Dominican
But like I said before, I'm not American
It's who you are, not the way you went
We all originate from the same descent
I make alot of cents, sense, and pence
Gold (gold), myrrh and frakincense
When I'm in France they blow me francs
Frank, with your swiss account is the way I bank-pank
At home, I make bills are brown from my sound
In the states green like the grass in the ground
When I'm in England, they pass me pounds now
I clock cash in every town, so I slide (slide)
But nowadays, I'm trapped
(why's that?)
So many suckers on my sacroiliac
It's like a rap-sack, backpack
(wic-wic-whack)
Give me some slack jack
Rap is like a jungle
Where rhyme for rhyme is like a vine to vine
Swung line to line of mine
I'm collossal, you'se a mosquito
I'mma play Tarzan, you play Cheetah
Cheeta, biter, love to forge
Better yet, I'll call you Curious George
Cause curiosty cold killed the cat
Can't hide so black to the side
Let your backbone slide

[Maestro Fresh Wes]
The keyword is synchronism
Yo, check out my homeboy dance to the rythmn
And hey, this hey, oh, this ain't Forte
I'm coming double-f
Fortissamo, F-F for funky fresh
My DJ is LTD, mellow-flex
You listen to the poetry, big jumbo jet
Vocabulary golden, beats from my rollin
Stone cold lyrics with the microphone I'm holdin
Words I rip, egos I strip
I make sucker crews kick, Dick Van Dyke flips
I get busy, they're dizzy, they start to collide
They should've stepped off (stepped off), I let it slide
But now they got brasen, dry like a raisin
I glaze like a vase, I smash you like days
Until they realize, they shouldn't have ripped
It's '89, not Beetoven's fifth or sixth
It's a throwdown, I'm conducting it
Because like a highrise, I'm constructing it
Was once thoughts, pen, and paper
Now it's a tower, a soul, a skyscraper
It's getting out of hand after I've created a monster
My musical monologue makes you wanna
Move with the Maestro
You feel hot so you set the blend, the cresendo is nice yo
I'm the guy, the rhythm is a ride (the rhythm is a ride)
To the fresh side, and let your backbone slide

This is a throwdown

",Maestro
33,63,446,Bobby Jimmy & The Critters,Somebody Farted,22,1990-03-03,"

* [Note: This is a parody of Doug E. Fresh and Ricky D's
""La Di Da Di"" and possibly other tracks as well]

Gotta potty
Gotta potty
Potty
Potty!

You know what I said a
Gotta potty, I had to farty
Rappin' on the mic, uh-oh, there goes my body
I'm just a man with lots of class
And when I eat a lot of beans I have to pass gas
Ooh, there, it growled like a bear
I think it's time to check my dirty underwear
Tick tock a you don't stop
To the tick tick a you don't quit
I farted again, it sounded like thunder
Went to the bathroom they said take a number
From start to stall had to potty y'all
Refried beans gave my booty a call
37, yes, that's my number
6 minutes, 6 minutes, 6 minutes Bobby Jimmy you're on
O o on, o o on, o, o, o, o on

Oh! Oh! Oh my God! (I gotta go!)
Oh! Oh! Oh my God! (I gotta go!)
Oh! Oh! Oh my God! (I gotta go!)
Oh! Oh! Oh my God! (I gotta go!)
Uh let it go. (Let it go) Come on. (Come on)
Uh let it go. (Let it go) Come on. (Come on)

Yo brothers, what, I was late for the show
Why? There wasn't any toilet paper on the roll
Oh no! You forgot it again
I forgot, I forgot
I forgot the toilet paper on the roll
R r roll, r r roll
Roll, roll roll r roll
No, no, no no no no I didn't
No, no no no no no no no no I didn't
No I didn't, don't get me wrong
I was stranded, I was stranded
I was stranded on the toilet bowl
B b bowl, b b bowl
Bowl, bowl, bowl, b bowl

(sung)Stranded, stranded on the toilet bowl
What do you do when you're stranded, no paper on the roll
To prove you're a man you must wipe with your hand
Then everyone will know you were stranded (cry)

You know what I did next? I grabbed the guy that was in the stall before me
And I looked him in the eye and I said:

(sung) It's all because of you
Got poopoo on my shoe
I must confess I used my shirt to clean up this mess
Oh don't you see
I got poop on my body
You took my paper away from me (cry)

Oh my God!
Oh my God!
Oh my God!
Oh my God!

Will somebody tell me where the bathroom is?

There's a potty over there
There's a potty over here
There's a potty over there
A potty over there
There' s a potty everywhere
I need to find the bathroom!

Say potty! (Potty!)
Say potty! (Potty!)
Say potty! (Potty!)
Say potty! (Potty!)

Excuse me brother. You got a quarter for the stall?

",Bobby Jimmy
34,64,471,Vicious Beat Posse,Legalized Dope,22,1990-03-10,NaN,NaN
35,67,491,MC Lyte & DJ K Rock,"Stop, Look, Listen",17,1990-03-17,"

[ VERSE 1 ]
I'm rhymin and designin, also creatin
The dope def rhyme that is always being taken
By a sucker MC that wants to be like me
No trait of originality
But yo, I am not one to down another
So like I said before, just go for yours, sucker
I'm gonna take the time to drop a dope line
Or maybe even two, for you and your crew
So you can start shakin and movin all around
To the Lyte Thee MC and the King Of Chill sound
It's new and improved like a freshly cut diamond
Perfect timin, like a gem it's shinin
Or better yet a ruby, somewhat like a saphire
This jam you are forced to admire

Stop, stop
Look, look
Listen

[ VERSE 2 ]
Wanna battle me? Now that's strange behaviour
Drink and drive, yeah, you're probably safer
Cause when I start, I never give slack
You feel like a 'kick me' sign was pinned to your back
Yes I'm the super-duper with the roper-doper
Got the clean drawers on, yeah, I hope ya
Do, because I'm gonna strip you of your peace of mind
Now your piece is mine, damn, that's unkind
Come on, admit it, the Lyte is too fly
The rhymes that I say you can't deny
Because 100% is what I give it (Say what?)
I haunt the house with the hip-hop spirit
I tear it, repair it
Like a hand-me-down make you wear it
Save all your crocodile tears, grin and bear it
And with all your other brothers you're gonna share it
You hear me, junior? Cause soon you'll
Be a grown man with the mic in your hand
And understand biting's not part of the plan
That's wrong, I thought I taught you better than that
But that's what you get from a stabber in the back

Stop, stop
Look, look
Listen

[ VERSE 3 ]
M.C. - Master of Creativity
Rappin is the activity
Rhyme is the sport, let it be taught
That Lyte Thee MC is takin no shorts
In '88 I was great, but '89 is my time
Stop, look, and listen - to the right rhyme
K-Rock the DJ throws the cuts my way
Put em on the reel-to-reel and let them play
Leg 1 and Leg 2, they do the jumpin
The dancin, the pumpin, always up to somethin
But when it comes to the rap category
MC Lyte headlines the story

(Extra, extra, read all about it)
(Comin out fresh and flier than we did before)

(Listen up everybody)

",MC Lyte
36,73,549,Kid Sensation,Back To Boom,25,1990-03-31,NaN,NaN
