,Unnamed: 0.1,artist,track,position,date,lyrics
619,5673,Nas,It Ain't Hard To Tell,24,1994-03-05,"

[Produced by Large Professor]

[Verse 1]
It ain't hard to tell, I excel, then prevail
The mic is contacted, I attract clientele
My mic check is life or death, breathin' a sniper's breath
I exhale the yellow smoke of buddha through righteous steps
Deep like The Shining, sparkle like a diamond
Sneak a Uzi on the island in my army jacket linin'
Hit the Earth like a comet—invasion!
Nas is like the Afrocentric Asian; half-man, half-amazin'
‘Cause in my physical I can express through song
Delete stress like Motrin, then extend strong
I drink Moët with Medusa, give her shotguns in Hell
From the spliff that I lift and inhale; it ain't hard to tell

[Verse 2]
The buddha monk's in your trunk, turn the bass up
Not stories by Aesop
Place your loot up, parties I shoot up
Nas, I analyze, drop a jew-el, inhale from the L
School a fool well, you feel it, like braille
It ain't hard to tell, I kick a skill, like Shaquille holds a pill
Vocabulary spills, I'm Ill plus Matic
I freak beats, slam it, like Iron Sheik
Jam like a TEC with correct techniques
So analyze me, surprise me, but can't magmatize me
Scannin' while you're plannin' ways to sabotage me
I leave 'em froze, like heroin in your nose
Nas will rock well; it ain't hard to tell

[Verse 3]
This rhythmatic explosion
Is what your frame of mind has chosen
I'll leave your brain stimulated, niggas is frozen
Speak with criminal slang, begin like a violin
End like Leviathan, it's deep; well, let me try again
Wisdom be leakin' out my grapefruit, troop
I dominate break loops, givin' mics men-e-strual cycles
Street's disciple, I rock beats that's mega trifle
And groove even smoother than moves by Villanova
You're still a soldier, I'm like Sly Stone in Cobra
Packin' like a Rasta in the weed spot
Vocals will squeeze Glocks
MC's eavesdrop, though they need not to sneak
My poetry's deep, I never fell
Nas' raps should be locked in a cell; it ain't hard to tell

"
620,5685,Queen Latifah,Just Another Day,11,1994-03-12,"

[Spoken Intro:]
We gon take this one over to 275 Halsted
384 Stuyvesant
We gon take it over to 155 Morgan
144 Harrison

[Chorus:]
Just another day, living in the hood
Just another day around the way
Feelin good today, feelin lovely-yay
Just another day, living in the hood
Just another day around the way
Feelin good today
I hear the (gunshot), but I'm here to stay

[Verse 1]
Well it's a beautiful day in the neighborhood
A beautiful day in the neighbor-hood
Can't go wrong, I feel strong and the flavor's good
I'm with whatever comes my way, hip-hop hooray
Latifah's on vacation, I'm just plain old Dana today
I strap out, step out in every direction
Glock, TECs, jimmy hats, in case I need protection
So I Land Cruise, pump sounds, play out wanna be’s
A kid in a M3's getting jacked right in front of me
So I play the Tech close, my finger's on the trigger
Don't wanna get wet, so they step
Cause mine's is slightly bigger
But better yet, I'm a threat, so you better walk
Or get sketched out in chalk, cause I don't wanna talk
I stay true blue, I'm hoping it's you too
I got the fever for the flavor of a Woo Woo
So it's back to the block, time to play
It's just another day around the way, hey

[Chorus]

[Verse 2:]
Time to chill, hit the hill uptown, let's peep the sights
Shoot some pool, act a fool, cause it's on tonight
I'm doing the knowledge, it's not easy, easy
Watchin a cop cuff a kid for sellin a clip to a DT
But it's home, so I flex, get pressures off my chest
Slip in a tape, now which hood should I hit next?
Stomach ache, head to Steak-N-Take for a bean pie
Get a Final Call from the brother in the bow tie
I'm where little kids, dream, and fiend for fun
Lots of laughter, moms, no pops playing with her son
I passed by a girl's wake, they say she died at seven
Hit by a stray, but I pray that there's a hood in heaven
Fake brothers claim there's no shame in their game
You know my name, show me a real nigga with a brain
So it's back to the block, time to play
It's just another day around the way, hey

[Chorus]

[Verse 3:]
You know I gotta give props, I can't stop
Without y'all, I'll be nothin
No wreckin', no checks, and no rhymin', no cuttin'
No stages, front pages, no phones, no beepers
No reason to put Queen in front of the name Latifah
I come with the real life perspective and rule
Cause me and my peoples around the way remain cool
So it's back to the block, time to play
It's just another day, around the way
Around the muthafuckin' way

"
621,5696,Masta Ace Incorporated,Born To Roll,22,1994-03-12,
622,5697,MeShell Ndegeocello,If That's Your Boyfriend,23,1994-03-12,
623,5699,Kris Kross,Da Bomb,25,1994-03-12,"

Artist: Kris Kross
Album:  Da Bomb
Song:   Da Bomb

It's da bomb
It's da bomb
I drop bombs like Hiroshima
It's da bomb
I know you hear me comin here I come
So you besta watch ya back
It's da bomb
I know you hear me comin here I come
And I'm called the Miggida-Miggida-Mac

Can I drop the bomb drop the bomb
Can I drop the bomb drop the bomb
Can I drop the bomb drop the bomb
Well, here it comes
Say what
Here it comes
It's the quicka rippa ripper
Known to flip a script like it ain't notin'
All ya MC's that used to MCs better duck an'
Run an' hide cause it's too late to try to make it right
Ya just messed up and I ain't tryin' to let ya slide
Cause I ain't the one for that I ain't the one that slack
I'm the Miggida-Miggida-Mac pack and I ain't takin' jack
I don't care who you get or who ya wit'
Just know you won't be equipped to what it takes to break this krossed
Out kid
I've got deez off dout clout cause I'm deez off doubt
I'm bad suckas if ya wanna know what I'm talkin about
So lay your cards on the table cause I'm able to rock
When ever, where ever I still rocks the cradle
Cause i'm a nappy happy bad little sun-of-a-gun
And in my eyes, nigga, you don't want none
Cause on the mike I get dum-ditty ditty-dum
So watcha back when I say here it comes

I know you hear me comin here I come
So you besta watch ya back
It's da bomb
I know you hear me comin here I come
And I'm called the Miggida-Miggida-Mac

Well, can I drop the bomb drop the bomb
Can I drop the bomb drop the bomb
Can I drop the bomb drop the bomb
Well, here it comes
Say what
Here it comes

Understand that Kris to the Kross comes with nothing but flavor
We get our own on our own ain't askin for no favors
We're true to what we do that's how we be
So just reason with the D-A-double D-Y-M-A-C

I betcha never thought you would here it like this
Some funk for the trunk by this nigga named Kris
See, I ain't into the game
I'm true to the gang
I'm poppin' your thang til the party people swing
Cause I'm a little rough neck
Tiffy-tiffy tough neck
Cause what gettin' 'nough respect
And all those little punks talkin' junk bring it on
Cause I just love takin' punks outta homes
Why
Cause I'm a nappy happy bad little sun-of-a-gun
And in my eyes, nigga, you don't want none
So watcha back or comments will startcha runnin'
And do-do on yourself when you hear the daddy comin'

I know you hear me comin here I come
So you besta watch ya back
It's da bomb
I know you hear me comin here I come
And I'm called the Daddy Mac

But, can I drop the bomb drop the bomb
Can I drop the bomb drop the bomb
Can I drop the bomb drop the bomb
Well, here it
Say what
Comes
I'll be coming around the mountain when I come droppin' a bomb
Creepin' up on those Romper Room suckas who wanna get some
So feel the wrath of a brat with the Mac pack
Walkin' away you're like the bottom of a door mat
I didn't gain props cause I was a suckas daughter
I had to earn them droppin' dynamite like Jimmy Walker
I can pay Donny Mars in a sticky cage
Give me 30-30 half-callibar half-gage
And if you don't know what I'm talkin' about
Test me out
We're in the big part of in The Last Boyscout
Scopin' a needle is like a needle in a haystack
Press the new rookie breakin' rims down like Shaq
You think you're dealin' with a weak boy step back
Cause I'm comin' up like a Veteran on a phat track
I'm bein' all I wanna be so you tell Uncle Tom
Dat Da Brat done drop da bomb

I know you hear me comin here I come
So you besta watch ya back
It's da bomb
I know you hear me comin here I come
And I am what they call Da Brat

"
624,5711,The Conscious Daughters,Something To Ride To,12,1994-03-19,
625,5712,A Tribe Called Quest,Electric Relaxation,13,1994-03-19,"

[Hook]
Relax yourself girl, please set-tle down
Relax yourself girl, please set-tle down
Relax yourself girl, please set-tle down
Relax yourself girl, please set-tle down

[Verse 1: Q-Tip & Phife Dawg]

[Q-Tip]
Honey, check it out, you got me mesmerized
With your black hair and your fat-ass thighs
Street poetry is my everyday
But yo, I gotta stop when you trot my way
If I was working at the club you would not pay
Aiyyo, my man Phife Diggy, he got something to say

[Phife Dawg]
I like 'em brown, yellow, Puerto Rican or Haitian
Name is Phife Dawg from the Zulu Nation
Told you in the jam that we can get down
Now let's knock the boots like the group H-Town
You got BBD all on your bedroom wall
But I'm above the rim and this is how I ball
A gritty little something on the New York street
This is how I represent over this here beat
Talking 'bout you

[Q-Tip]
Yo, I took you out
But sex was on my mind for the whole damn route
My mind was in a frenzy and a horny state
But I couldn't drop dimes cause you couldn't relate

[Hook]
Relax yourself girl, please set-tle down
Relax yourself girl, please set-tle down
Relax yourself girl, please set-tle down
Relax yourself girl, please set-tle down

[Verse 2: Q-Tip & Phife Dawg]

[Q-Tip]
Stretch out your legs, let me make you bawl
Drive you insane, drive you up the wall
Staring at your dome-piece, very strong
Stronger than pride, stronger than Teflon
Take you on the ave and you buy me links
Now I wanna pound the poontang until it stinks
You can be my mama and I'll be your boy

[Phife Dawg]
Original rude boy, never am I coy
You can be a shorty in my ill convoy
Not to come across as a thug or a hood
But hon, you got the goods, like Madelyne Woods
By the way, my name's Malik
The Five-Foot Freak
Let's say we get together by the end of the week
She simply said, ""No"", labelled me a ho
I said, ""How you figure?"" ""My friends told me so""
I hate when silly groupies wanna run they yap
Word to God, hon, I don't get down like that

[Q-Tip]
I'll have you weak in the knees that you could hardly speak
Or we could do like Uncle L and swing an ep in my jeep
Keep it on the down, yo, we keep it discreet
See, I'm not the type of kid to have my biz in the streets

[Phife Dawg]
If my mom don't approve, then I'll just elope
Let me save the little man from inside the boat
Let me hit it from the back, girl I won't catch a hernia
Bust off on your couch, now you got Seaman's Furniture

[Q-Tip]
Shaheed, Phife and the Extra P
Stacy Beadle, PJ and my man L.G
They know the Abstract is really soul on ice
The character is of men, never ever of mice
Shorty let me tell you about my only vice
It has to do with lots of loving and it ain't nothing nice

[Hook]
Relax yourself girl, please set-tle down
Relax yourself girl, please set-tle down
Relax yourself girl, please set-tle down
Relax yourself girl, please set-tle down

[Outro]
Keep bouncing

"
626,5716,M.C. Hammer,Pumps And A Bump,17,1994-03-19,"

Chorus (4x):
Pumps and a bump, Pumps and a bump, we like the girls with the Pumps and a bump!

Verse 1:
Just when I thought could I hit another one
So up jumps see me with the pumps and a bump
All stiggitty stiggity curves, getting on my good nerves
Looking like ice cream ready to be served
Stretch, bend it, can I get in it
If you wanna kick it with a G baby here's me
Cause I come equipped, I'm a pimp, slippity slip, out your clothes and take a trip

Chorus(4x)

Pumps and a bump, now many say a big butt
But if you're hip you know that it's a phone crud
It's making the brothers go crazy in the 2-G
Shake like a bottle girl fine as wine G
So when I here I got a step (to a fine thing)
Never been a coward (cause it's a eastside thing)
Just step right up to the girl with the big butt
Tell her what's up you got the pumps and a bump

Bridge:
Men: Aaalll
That we waant
For the rest of our life, is a girl thick and tight
Ladies! Aaall
That we waant
Is man who is right, who can hit it all night!

We gotta bump the pumps!

Chorus(4x)

I don't like 'em figgity fat! (No!)
I like 'em stiggity stacked (Yeah!)
You wiggity wiggity wack if you ain't got biggity back (Awwww!)
Now when you see the rump shaking on the dance floor
You following with your eyes and get hypnotized
But a fella like me will dance up to some chopping and chewing
Keep em bottling you know I keep 'em bobbing
I put my fingerprints all over that rump
I'm guilty as hell but I love the pumps and the bump! (Ow!)

Chorus (4x)
Bridge

"
627,5721,Sudden Change,Comin' On Strong,22,1994-03-19,
628,5738,Heavy D & The Boyz,Got Me Waiting,14,1994-03-26,"

[Chorus - sung]
Got me waiting, anticipating
You got me thinking
I want your love
I'm trying to show you
I really, really want to know you
You got me thinking
I want your love

[Heavy D]
I got a funny feeling, honey
That you're kind of digging me
But every time you see me
Word is born, you be ignoring me

I know your name, yes, I do
Because your girls told me
I know where you live, you want to bet
Because your girls showed me

But I'll parlay
And stay out of your way
Figuring I won't be ignorant
And catch you the next day

When I'm in focus, I notice you
Only move with a chosen few
Irreplaceable, what's up
With insatiable you

I never figured you
For the quiet type
On the down low
The low pro-file type

I always thought you
Was a rah rah mama
Stirring up crazy confusion
Causing drama

What's the matter, huh
Cat got your tongue
Or some mack got you strung
Or maybe I ain't the one

I want to know cause if I don't
It's going to haunt me
Yo, word up
You got me thinking you want me

[Chorus -sung]
Got me waiting, anticipating
You got me thinking
I want your love
I'm trying to show you
I really, really want to know you
You got me thinking
I want your love

[Heavy D]
I'm steady, picking my brain
Trying to figure your game
What's your angle, tell me
Where you're coming from

The whole picture is strange
So I'm digging the frame
Because I like what I see
And I want some

So tell me what's your plot
What's your plan
You're looking for
A brother to get got
I'm not your man

But believe in me
You want to be with me
But you won't even talk to me
To tell me what it is you see in me

I got to hear it from your girls, Uptown
The word got around from my crew
In Brooklyn and in the Boogie Down
Said you had a thing for me
And what would it take for a date
And wait, swing with me

I got your cards
You're playing hard to get
I'm long and I'm strong
And if it's on
I keep it soft and wet

Let me know cause if you don't
It's going to haunt me
Yo, word up, you got me
Thinking you want me

[Chorus -sung]
Got me waiting, anticipating
You got me thinking
I want your love
I'm trying to show you
I really, really want to know you
You got me thinking
I want your love

[Heavy D]
""Hey, yo, hey, yo....""
Look at all the cuties
Swinging in the party
""Hey, yo, hey, yo....""
Look at all the cuties
Swinging in the party

I never stumble cause I'm humble
And I'm ready to rap
You got me feeling like I'm sleeping
And it's keeping me trapped

But still in all, you want to stroll
And have a fella on layaway
Fronting for nothing like it's
Something for me to stay away
Emotional trips
Get a grip
Because I'm losing it
Ideas was clear
Had it in gear
Now you're confusing it

I had the thought
That you were caught
And you were going steady
Wasn't checking for me
Cause you had a friend already

But I'm a put it all aside
Cause God is my guide
Swallow my pride, stride
And follow my guide

Let me know cause if you don't
It's going to haunt me
Yo, word up, you got me
Thinking you want me

[Chorus -sung 4X to fade]
Got me waiting, anticipating
You got me thinking
I want your love
I'm trying to show you
I really, really want to know you
You got me thinking
I want your love

"
629,5766,Simple E,Play My Funk,17,1994-04-02,"

[Chorus x2]
Now everybody wanna play my funk
Now everybody wanna play my funk
Now everybody wanna play my funk
Now everybody knows me

I was walkin on the railroad
I sat my booty on the track
I saw this kid with the Gap sack
So I snatched my booty back
I said looka here, partner
You know you can't be me
I be the one, it ain't two now
And you know it's true

Now move on
I got the fellas jealous cause I flows like none
I got the whole nine, need not pack a gun
No need for greed, see I takes then I feeds
To the young, sprung on the air that I breathe
You can't concieve how I braids and I weaves
Hear you over there, may appear
Some fear for the smear
We're gonna have in abundance
I write, see I write, see I write
Did you know that

[Chorus]
Now I'ma fuck around and make a b-boy mad in a minute
Shit, I'm so nice niggas think I'm freakin senate
Status - I rank top-notch, come on now
I've seen less mess in my restroom
Plop on up and fetch a fierce self-check
I digs how my voice takes muthafuckas over
Trick, back it up 'fore I buck, buck another
Pass me the present cause the future can't hold my soul
I pump fear in the mere mortal, beast control
I blast, punk, that ass fast
Feel the funk, savor 'fore you face defeat
My backbone of stone totes treats to beats
Now come on
Adapt to my taps, I'm two snaps
I'm too through, ooh, I'm too through
I kicks butt, strut as I gluts for fame
And goes 'can't nobody hold me'

[Chorus]
I'm the abyss, ready to determine your lifeline
You falls too short, so I be tall in your acetone
Death died so I'm here to stake my claim
Bang-bang, boogie-boogie, my style's a gang
Give it up, I funk it up, chick, I spits hits
Look back, you ain't stacked, get to face this
Who's bad? My notespad are flamin folks
Fire, on fire, koombaya, beaucoup funk
Now pump that in your tire, like that
Terry, bring it back, bring it back like that
My Wranglers in need of a washin
Got no time to shoot the shit in no fashion
Pardon my French, I'll kick your ass - me no favor
Be that behind, I be the vain soothe sayer
Step up, bow to my spunk
Mama moves, I grooves, your lefts be my rights and...

[Chorus]

"
630,5796,Domino,Sweet Potatoe Pie,22,1994-04-09,"

[Intro]
It's like this
I'm that guy, you're so fly
Gotta get a piece of that sweet potato pie
I'm that guy, you're so fly
Gotta get a piece of that sweet potato pie

[Verse 1]
Now the way of today with the homies is straight
Gettin' fucked up off the dank, chronic
Bud, what, ever you wanna call it
And peace to you fuckin' alcoholics, for
Makin' the proper remedy
Cuz when I hit it, bitches envy me
Say you want wine? Yeah, I guess that's fine
But thai is the sky when you talkin' about mines
Now my thai got a friend named Gin
Got me all straight now my dick won't bend
Now I'm fucked for the rest of the night
Unless I find a piece of ass whether it's loose or tight
Now looka here looka here I done found a bitch
Yummy for the dick, Jelly mix in the switch
Save that shit cuz I don't wanna be your man
Just need a little loosin', do you understand?

[Hook (x2)]
My mind's fucked up off chocolate thai
Hit the gin shop now I'm so high
Now I need a bitch that's proper and fly
So break me off a piece of that sweet potato pie

[Verse 2]
Thinkin' about what I'm gonna do today
Party at my homies bout eight
I thought about goin' to the movies
But ain't nothin' like a bunch of proper ass hoochies
Dressed like a player can't wear nothin' less
Some simple ass shit, even if it ain't Guess
Take  a couple of shots and now I roll to the spot
Bitches straight peepin' wanna know what I got, well
One, two, three, Here comes the D
Pass me the buddah, OOOOH WEEE!!!!
And now I'm ready for you bitches
So gang a dick licker, do you get the picture?
And so much love for ya gals
And peace, love, and pussy to my muthafuckin' pals
And ay, yai, yai, I'mma stay high
And keep me a piece of that sweet potato pie

[Hook (x2)]

[Verse 3]
The fellas wanna have a barbecue tonight, I think it's on about five
They say it's gonna have plenty Daisy Dukes, and Les says it's gonna be live
So Imma gonna grab me a player suit, cuz ain't a damn thing changed
And now I'm proper and fly and shit, but man do I feel strange
So Imma go down to the liquor store, and find my friend named Gin
And go to the girl with the flyest thai, and break her off a proper twin
And now it's time to make some shit, and look for the proper mix
And run a little game on the PYT, and tell it to her somethin' like this

[Hook (x2)]

"
631,5798,2Pac Duet With Mopreme,Papa'z Song,24,1994-04-09,
632,5814,South Central Cartel,Gang Stories,15,1994-04-16,"

[ VERSE 1: Prode'je ]
Another soldier from the Central with the 80 in my pocket
A nigga's knocked it and I fucked him like socket
Cleared his fuckin ass, cause I never play the last place
So now he's walkin with the muthafuckin gas face
That's right, I'm burnin muthafuckas like a arsonist
I have you walkin like a crippled and retarted bitch
I never fuck around when I'm with a team of fuckin gangsters
Westcoast freestyle bangsters
Kickin a foot up in yo ass like Pele
And prosecute like the muthafuckin D.A
I'm rollin a small coupe drop through the hood of gees
And hittin the chips on the undercover p-i-g's
I'm givin a fuck about naythin, muthafucka Satan
Cause I'm the only nigga crematin
Fool, the Prod came out heartless
Gang related, don't be anohter nigga on my shitlist

[ Hook ]
I don't waste a minute, muthafuckas I be smokin
(I got another gang story to tell, peep)
Sometimes I walk around strapped, nigga
(I got another gang story to tell, peep) --] MC Eiht

[ VERSE 2: Tre-Duce ]
Back up in the hood I thought you knew, oh punks, you didn't know
Though you got a grip you're gettin dropped like a sixty-fo'
I put my foot up in your ass so far
I'm leavin prints on your neckline, signed 'Mr. Bogart'
Another victim of society
Why did you lie to me?
So I gotta use my strap daily
And take you muthafuckas out
It coulda been prevented, but the niggas was sho' from the sto'
A.K.-47 ways to heaven
I took em for a 211
And left his ass with 187
Just a another nigga dead and gone
He fell victim to the chrome as I punched in the gold broam
I roll the streets with a murder rep
I'm known for kickin hoes and niggas' necks and causin istant death
Young niggas goin in and comin out winnin
The gang story that a nigga's tellin

[ Hook ]

[ Havoc The Mouthpiece ]
South Central L.A. is the gang capital of the world
Where niggas walk around strapped daily
And won't hesitate to smoke yo ass in a minute
Take it from the Mouthpiece
This is just another Gang Story

[ VERSE 3: Havikk The Rhimeson ]
Back up in the hood, oh yes, I'm back
I'm leavin your fuckin skull marinated in the heat as I creep
I'm stickin my shoe up in your ass so far
My shoestring will look like hemorrhoids as you're lyin in the fuckin morgue
I gives a fuck when I creep
I told you I was evil as a nigga when I'm lyin by the devil 'sleep
I let the slugs fly quick
The Tec-22 is in your ass like flies on shit
I'm from the dephts down below, the groundward
The graveyard, rockin you niggas, cause I'm that hard
Rhimeson casuin havoc for the underground
You fuck around, you lay around, and yo, you hang around
I'm puttin niggas on graveshift
The Glock-9 plays connect the dots off in your ass, bitch
The hardest nigga with a g slang
'94, here we go, muthafuckas, it's a g thang

[ Hook ]

[ VERSE 4: Big Mike ]
Just another muthafucka who got tore down
Came home and beat his ho down
Bust shots at the police and lost the showdown
Low down, but now his little brother's stuck on payback
Rollin through the hood, and them little niggas stay strapped
What can I say, black? B.G. is heartless
Usin one-time as targets, I warned you not to start this
Cause he's down with some down-ass niggas from around the way
It be that way, they got they nuts off fo' deep, and they down to play
Anything you hoes wanna do
(Well, bust a right at the light, come back and bomb that corner, fool)
Four young niggas ready to fuck your cap up
Left three niggas dead, and you thought they wouldn't act up?
Zip the sack up, and wipe the blood off of the flo'
Started some shit, and now they got everybody at each other's throats
Kinda fucked up, but that's the way it be
These niggas don't be playin on these muthafuckin streets

[ Hook ]

"
633,5823,Black Moon,I Got Cha Opin,24,1994-04-16,"

[Verse 1]
When I get bent I must represent, no question
Get up a dime spot and then I'm off to the dread section
Roots hit me off lovely
Coming out the spot I had to duck because a nigga tried to buck me
I'm easing on the Glock like, ""What up, hop""
Buck's pulling out on cops cause I want free Glocks
What the fuck, bring your bitch-ass type brigade
Hitting them all, hand guns and hand grenades
Unreasonable the man that's wanted for murder
Got your block locked down, so don't come any further
In my clip is a .22 dum-dum
Oh yeah, I seen your moms, I hit her off with a jum
You know what I'm saying? Fret it or forget it
I'm like the short and fly so I'mma still get paid, I don't sweat it
I'm every MC's nightmare manifesting
A little shorty pushing the fact that I'm best in
This shit called hip-hop, raise the throne
Kid, don't front, I got you open in your dome

[Hook]
Don't front, you know I got you open, kid (Repeat x8)

[Verse 2]
Rest in peace to my niggas in the East
And all the real niggas that was shot by beast
Around the way all we do is spark mad ism
Ladies be like, ""Yo, he's Buckshot right there, that is him""
But let's get with the cipher, kid, pass the eight
So I can wet my lungs and blow smoke in your face
Word to Jah, niggas can't touch me, kid
Cause I'm too nice to do bids or ever hit skid
Fronts in the bottom of my teeth like whatever shit
On the real, gettin played, what, I never did
Cause on the mic I gotta represent the real niggas
The field niggas get the muthafuckin ill triggers
Word to Herb, lick shot with my verb
And keep my hand on my grip when I play the curb
I never got caught by a undercover DT
Nah chill E T&T can't see me
You grab mics from the ones I left broken
Kid, don't front, you know I got you open

[Hook]

[Verse 3]
Late at night I catch a buzz, then I write
The type of ill shit to make the mind feel tight
And be wanting to battle like every five minutes
But I'm in this like Guinness so that ass get finished
Straight from the floors of hell, feel the flame
You faggot ass, I heard your nickname's Blaine
I hit your brain and you felt the pain, maintain
When it comes to a battle you know the Buck reigns
I overthrow the flow, niggas be like, ""Yo, how'd you do that?""
Bitches be like ""Yo who that, you're all that, yo, true that""
Never forget that I'm the one you thought wouldn't make it
I used to make money, now I just take it
I do what I gotta do to bring you to the concrete
Bucking niggas down cause they think shit is sweet
I keep a Tec whenever I'm in the projects
Ease out, then flex, in effect like Wreckx
Buck to your head, now die is my slogan
Don't front, you know I got you open

[Hook]

"
634,5849,Patra,Worker Man,25,1994-04-23,"

I have a real man problem
Gotta find a guy who can solve dem (A real man)
One who loves to play in
Many different ways (Fi real!)
I have a real man problem
Gotta find a guy who can solve dem (Tender man)
One who loves to play in
Many different way (Watch this!)

Man is not a man if
((Him a)) no worker man
Man is not a man
If he cyaan go 10 furlong
Man is not a man if
((Him a)) no worker man
Me want a man me can
Tongue pon me long

Me want a man when him a work
'Im just a sweat
Work pon mi body like 'im
A ready bout ((jet))
Tell di man a when mi love
A him me have fi get
Work mi body
Him a work it to deat'
Yuh a 50 minute man
Yuh better start fret
Caw yuh a cry
((how)) yuh no get ((nothing)) yet
Tek mi body
Caw yuh naw gon regret
And over a hour
((Dem a net)) a perfect

Man is not a man if
((Him a)) no worker man
Man is not a man
If he cyaan go 10 furlong
Man is not a man if
((Him a)) no worker man
Me want a man me can
Tongue pon me long

I want a real teddy bear
No matter how big I don't care (Hug me tight)
One who can love me up
And pour juice in my cup (Squeeze me tight)
I want a real teddy bear
No matter how big I don't care
One who can love me up
And pour juice in my cup (Tender love)

Man is not a man if
((Him a)) no worker man
Man is not a man
If he cyaan go 10 furlong
Man is not a man if
((Him a)) no worker man
Me want a man me can
Tongue pon me long

When me find one
Me say what a bam bam
Flex out di night an
Still a galang
Caress me when yah bogle
Make me do di armstrong
Come prove to me
Say yuh no one minute man
Step to me softly
Jus like a real man
An mi have fi request
Ah just yuh ((dun)) galang

Man is not a man if
((Him a)) no worker man
Man is not a man
If he cyaan go 10 furlong
Man is not a man if
((Him a)) no worker man
Me want a man me can
Tongue pon me long

I have a real man problem
Gotta find a guy who can solve dem (Fi real!)
One who loves to play in
Many different ways (All night long)
I want a real teddy bear
No matter how big I don't care
One who can love me up
And pour juice in my cup (Squeeze me right)
When dem a work
An work me all night
An make mi stomach come up
Me love when dem bad
An some gwaan like dem tough
Cuz when dem inna bed
Me ah go ((boil dem fi ducks?))
Come test me now
If I ((stop)) mi yuh approve
((Come make a )) play
Little touches a move
Day by day
Ah saw mi improve
Mi no back from it
Caw me know me naw gon lose(Sex!)

Man is not a man if
((Him a)) no worker man
Man is not a man
If he cyaan go 10 furlong
Man is not a man if
((Him a)) no worker man
Me want a man me can
Tongue pon me long
Man is not a man if
((Him a)) no worker man
Man is not a man
If he cyaan go 10 furlong
Man is not a man if
((Him a)) no worker man
Me want a man me can
Tongue pon me long

"
635,5872,Illegal,Back In The Day,23,1994-04-30,"

Verse 1: {Malik}
Back in the day i stayed paid i slayed and slang them thangs
Never had shit no i never had a fuckin' thing
I didn't have Moms to spend time or curl back
I needed that fast money so i had to react
?
I hustle when i had to so my pockets could stay kinda fat
Never was a crab i never was a ?
Just do what i gotta do and break a nigga off somethin'
?
I just make em holla until he feels pain
Gimme your sneakers, money, clothes, rings, and your fuckin' chains
Cuz I-I I never could have shit
Who'd ever think id have this
I wasn't sure i had a window to throw out my pot of piss
Now-Now-Now this verse is to show whose life was worse
That's why im a bad boy ghetto bastard and always have to curse

{Chorus}
Back in the day when i was a teenager (X4)

Verse 2: {Jamal}

For Christmas i wish for a tip
My daddy never played catch
My mommy was addicted to crack because she had no self-respect
I used to walk the streets ? until my grandma took me away
But still i wasn't safe
But something changed i had someone to care for me
But still i never had a male influence around me
My momma, grandmama, auntie and uncle were strung out
The only time i got love is when i had money or some drugs
?
Until i start stealin thats when my people start to wonder
""Where you got it, When you got it, Can i have it, Can you give it to me so i can make some ends by sellin it?
Most of the time i used to give it to them but then my uncle Ed crossed over and made ducats by the minute get it?
Im never packin pop tarts for lunch, im packin 38 special thats why they call me Mr. Hotshot

{Chorus}

Verse 3 {Malik}

In Holly Hill they hate to see you smile love to see you frown
Can't get yourself up out the ghetto tryin to keep the next family down
But you know, thats how it ever was
If you can't have it you get it from the one who does
My momma did what she had to do to satisfy ?
But now i gotta go move my first packages
More sales and we was making money we couldn't stay in the 'jects had to get up and go
Niggas couldn't stand to see that and started snitchin to 5-0
In other words, rattin' like a mouse
They listened and listened and then they ran up in the fuckin' house
Trashed the crib the whole thing was a mess
They was takin everybody down puttin ? in DSS
? shed tears it was a cryin' shame right
That's when i met Naughty By Nature and they told me that everything was gonna be alright

{Chorus}

Verse 4 {Jamal}

13 on April 26 of 1992
But to my family its just another day another week
Jamal fuck you
Its the same shit different day so i just leave and go get
? from the neighbors if i can i shoot some hoop with my niggas on the corner
And ask them who they think the next goner's gonna be
Me or some markhead nigga around the way
Cuz they ? like they shit dont stink
I knew much better when i was a kid i stayed on the DL
But still i always heard people scream Jamal when shit went down
It's like when shit went down i was the number one suspect
It wasn't because of me it was because of my uncle Trevor
Never lived a normal everyday kid's life
Instead of after school activities I'm on the corner shootin dice at night
If you ain't from around don't come around
Because you won't leave with a smile you'll leave with a frown
On your face as you hear the words of a nine millimeter
Back in the days when i was a teenager

"
636,5888,Warren G & Nate Dogg,Regulate,14,1994-05-07,
