,recording_id,artist_name,track_name,lyrics_artist,lyrics_track,lyrics,artist_name_lower
5386,5387,LL Cool J Featuring 7 Aurelius,Hush,Hush,LL Cool J,"featuring 7 Aurelius (2nd or 3rd single)

[7 Aurelius]
Hush baby, wanna let ya know
This is how its gonna go

[beat starts up]

[Chorus - 7 Aurelius]
Hush baby, wanna let ya know
This is how its gonna go
If u wanna come and play
Gotta do it my way
Hush baby, dont talk so much
Just wanna feel ya touch
Everything will be ok
If u do it my way (my way, my way)
Hush baby [echoes]

[Verse 1 - LL Cool J]
U feel so good
Rest of my life i wish i could
Hold u tight and take a flight out the hood
Was i foul or just misunderstood?
Mind-mannered or up to no-good
It really doesnt matter, either way i should
Maximize the moment and hold ya close
Jump in the drop spider and cruise down the coast
Who loved u the most?
I was never ghost
When lives was on the line
Confusion in ya mind
Runnin outta time
Drama of all kind
But theres faith in our mind
We spiritually inclined
Sometimes i flip
Sometimes u flip
Sometimes we wild out and act like lunatics
We movin too fast, the whole world's in a rush
Everybody just hush...

[Chorus x1]

[Verse 2 - LL Cool J]
Its all a test; the pain, the drama
The villa in the bahamas
The highs, the lows
The hoop-t, the Rolls
The money flowin
Certain doors that we go in
The people we meet, the hands that we shake
Whether its Mortans or Sizzla steak
But everything will be okay
[w/ 7 Aurelius] if we do it my way
Cuz i believe in romance
Kissin while ya slow dance
Me bouncin baby? no chance
No matter the circumstance
Whatever it takes gurl, ill swim to France
Cuz ya beauty's unmatched
Such a great catch
Unconditional love, forever we are attatched
Deal with the drama, we can find our way back
With or without the Maybach...

[Chorus x1]

[Verse 3 - LL Cool J]
I can feel ya pain
Like we simese twins connected by our brains
Walkin thru the desert in the ice cold rain
Want u in my life and nothins gonna change
God willin, we still be doin our thang
When my six-pack's faded
Raps outdated
But thats many years from now so dont rush
Little mama just hush...

[Chorus x1]

[7 Aurelius]
Hush baby
Hush hush darling
Hush baby hush hush
Dont talk so much
Wanna feel ya touch

[LL Cool J]
Hush baby hush
Hush baby hush

[7 Aurelius]
Hush baby wanna let ya know... [echoes]",ll cool j featuring 7 aurelius
5391,5392,LL Cool J,Loungin,Loungin,LL Cool J,"keep it chickenhead,im lookin for a dime
get my swirve on,make it hot,word is bond, im lickin on your ankle
bracelet,we'll be sippin' moet wit strawberries and dat shit, im nasty ask me
why i lick my lips so in the darkness i can run my tongue over your tits
its all good sugary,u aint leavin' sit up on my face and help my stash grow
even
whipped cream taste mean from the back she bounce wit' LL now shorty's on the
map
i put away the gat,took off the hat,throw ya mo's in the air if u like it like
that
no doubt boo,i keep it real girl,mad pleasure,blowin up your whole world
whatever's clever i got endless cash,trees from Hawaii, 2 pools or baths

[chorus]
i'll be loungin with LL Cool J
i'll be loungin' with LL,hey hey

uh,my scenario is grand,a dime peice,hennessey up in my hand
i turn out the lights like teddy,im feenin', standin' in the darkness,now im
ready
uhh,ooh yeah up in ya,let it flow while i pump slow,then i speed it up,heat it
up
make it mo' tasty,so u can swing low and lace me
use your imagination,u do me,i do u,sex education
its all good, it's cranberry absolut,peach shnapps,feelin' tipsy,loungin' on
the rooftops
i'm 'bout to spank u on dat ass(ooh) i know u love it when it lasts(true) when
u need it who u ask (you) what u sayin' when i dash (dont go boo)

[chorus]

u got to bounce wit me suga,word up,u got to bounce wit me suga,worda
worda,word up...

warm it up suga,make it hot,shorties'll swarm,make me wanna bust shots,we
speak daily on the regular,run your jibs all day chip in my cellular
shoot down to jamaica,pretty white sand,suntan oil,pina' coladas in my hand
layin up at night,peepin' at stars,remember,when we was at the club in da
bars?
i told ya my status was that of a don,u thought i was a dog and u aint wanna
get it on,but my mind has attractin' qualities,all the emotions of a young
lady
so here u are,smack dab up in the mix,shorty this here's about as good as it
gets
word up,i'ma treat u like a queen from the heart,crack the bubbly,and let the
episode start.

[chorus]",ll cool j
5393,5394,Mystikal,Shake Ya Ass,Shake Ya Ass,Mystikal,"Mmm! Mmm, mmm, mmm
Oooh-OOOH!

[Hook - repeat 2X]
Shake ya ass, but watch yourself
Shake ya ass, show me what you workin with

[Verse 1]
I came here with my dick in my hand
Don't make me leave here with my foot in yo' ass; be cool
And don't worry bout how I'm rippin this shit
When I'm flippin what I'm kickin nigga, that's just what I do
I'm effervesecet and I'm off that crescent
Nastier than a full grown German Shepherd; motherfucker keep steppin
They don't fuck with me and they don't
Y'all bitches cant catch me and you won't
Pay ya fare, fix ya hair, throw that pussy
Got Prada for my boonapalist, and (??) from Debussy(??)
You think I'm trickin? Bitch, I ain't trippin
I'm buyin if you got nice curves for your iceberg
Drinkin Henn and actin like it do somethin to me
Hope this indecent proposal make you do somethin with me
Fuck a dollar girl, pick up fifty
And fuck that coward you need a real nigga
Off top knick-a-boxers hurtin shit
Bend over hoe; show me what you workin with!

[Hook]

[Chorus]
Attention all y'all players and pimps
Right now in the place to be (shake ya ass)
I thought I told y'all niggas before
Y'all niggas can't fuck with me (watch yourself)
Now this ain't fun, no smoke or tease
No sir cuz that won't pass (show me whatcha workin with)
But if you feel you got the biggest one
Then momma come shake ya ass

[Hook]

[Verse 2]
I like my women fire like CAY-ENNE!!
Chocolate and bowlegged - when I'm runnin up behind her!!
Go head get ya pop-a-lock let the cock out
For girl don't lie you know you wanna go back to my house
&amp;amp;quot;The Man Right Chea&amp;amp;quot; wanna get under that dress right there
You spicy cajun we gon' a good time over there
You better suck the head on them there crawfish
And you gotta bend all the way over to dance off this
Handle yo' business but I know you do it way better, you dead wrong
So if you talkin bout how niggaz make noise when you pass by
get yo' fine ass on the floor girl this yo' fuckin song!
Do yo' thang dont be scared, cause you gon' get served
You get mine then you gon' get yours
Bout to make yo' ass love it
Raise it up, show the G-string hustlin hustlin

[Chorus]

[Hook]

[Verse 3]
Stop yo' cryin heffer, I don't need all that
I got a job for you - the braided up pimp is back
Break them handcuffs, fuck you nigga move somethin
And if they ask you what you doin say, &amp;amp;quot;Ooohh nuttin!&amp;amp;quot;
And we been doin for the past 2 somethin
And I've been beatin that pussy up now it's smooth fuckin
You can betcha bottom dollar; if that pussy fire
you gon' holla Michael Tyler!
So don't act like you don't be backin that stuff up
Girl in the club, cause that's what you got ass for
Wobble wobble I'm infatuated
Bitch ride a dick like she makin a baby
And I see that we gon' have to go to a quiet corner for just us two an'
Don't worry about who lookin, just keep on doin what you doin
Cause a nigga like me gon' get to work before I know the girl
Bitch whats happnin, let 'em see, show the world!

[Chorus]

[Hook]

Uhh.. OOOH-WEE! Good lawd!
Damn!",mystikal
5412,5413,Souls Of Mischief,93  Til Infinity,93 'til Infinity,Souls of Mischief,"Yo whassup, this is Tajai of the mighty Souls of Mischief crew
I'm chillin with my man Phesto, my man A-Plus
and my man Op', you know he's dope (yo)
But right now y'know we just maxin in the studio
We hailin from East Oakland, California and, um
sometimes it gets a little hectic out there
But right now, yo, we gonna up you on how we just chill

[1]
Dial the seven digits, call up Bridgette
Her man's a midget; plus she got friends, yo, I can dig it
Here's a forty, swig it, y'know it's frigid
I got 'em chillin in the cooler, break out the ruler
Damn! That's the fattest stog' I ever seen
The weather's heat in Cali; gettin weeded makes it feel like Maui
Now we feel the good vibrations
So many females, so much inspiration

[2]
I get inspired by the blunts too (too)
I'll front you (you) if you hang with a bunk crew (chump)
I roam the strip for bones to pick
When I find one, I'm done; take her home and quickly do this
I need not explain this (nahh)
A-Plus is famous - so get the anus!

[3]
Hey miss! Who's there? I'm through there
No time to do hair; the flick's at eight, so get straight
You look great - let's grub now
A rub down sounds flavor; later there's the theatre
We in the gut, the cinema, was mediocre
Take her to the crib so I can stroke her

[4]
Kids get broke for their skins when I'm in
close range, I throws game at your dip like handball
cause the man's all that
All fat - I be the chill from 93 'til

[Chorus: S.O.M.]
Yeah, this is how we chill from 93 'til
This is how we chill from 93 'til
This is how we chill from 93 'til
This is how we chill from 93 'til
Uh-huh, this is how we chill from 93 'til
This is how we chill, from 93 'til
This is how we chill from 93 'til
This is how we chill.. from 93 'til

[5]
Huh, my black Timbs do me well (yeah)
When I see a fool and he says he heard me tell (what?)
another person's business, I cause dizzyness
Until you - stop acting like a silly bitch

[6]
Yo, crews are jealous cause we get props
The cops, wanna stop - our fun, but the top
is where we're dwellin, swell and fat, no sleep
I work fit and jerks get their hoes sweeped
under their noses, this bro's quick
yo hit blunts and flip once I'm chillin cause my crew's close, kid

[7]
I'm posted, most kids accept this as cool
I exit, cause I'm an exception to the rule
I'm steppin - to the cool spots where crews flock to snare a dip
or see where the shit that's flam B
Blam leakin out his pocket
So I got tons of indo and go to the hoe in's
basement, my ace spent
Fattenin up tracks, Time to get prolific with the whiz kid

[8]
Greenbacks in stacks, don't even ask
who got the fat sacks we can max pumpin fat tracks
Exchangin facts about impacts, cause in facts
My freestyle talent overpowers brothers can't hack.. it
They lack wit; we got the mack shit
93 'Til Infinity - kill all that wack shit

[Chorus]
Hah, this is how we chill from 93 'til
This is how we chill from 93 'til
This is how we chill from 93 'til
This is how we chill.. from 93 'til
Yeahhh this is how we chill from 93 'til
This is how we chill, from 93 'til
This is how we chill from 93 until
This is how we chill from 93 'til

[9]
I be coolin; school's in session but I'm fresh in
rappin so I take time off to never rhyme soft
I'm off on my own shit with my own click
Roll many back roads with a fat stog' and blunt, folding runts
Holding stunts captive with my persona
Plus a bomber, zestin
Niggaz is testin my patience; but I stay fresh and

[10]
Restin at the mall, attendance on 'noid
But I am shoppin for my wish to exploit
some cute fits, some new kicks
I often do this cause it's the pits not bein dipped

[11]
Flip - the flyer attire females desire
Baby you can step to this if you admire
The ex..traordinary dapper rapper
Keep tabs on your main squeeze before I tap her

[12]
I'll mack her; attack her with the smoothness
I do this, peepin what my crew gets (huh)
loot, props, respect and blunts to pass
Crews talk shit, but in my face they kiss my ass (smak!)
They bite flows but we make up new ones
If you're really dope, why ain't ya signed yet?
But I get - my loot from Jive/Zomba, I'ma bomb ya
You will see - from now 'til infinity

[Chorus]
Ah, this is how we chill from 93 'til
This is how we chill, from 93 'til
Huh, this is how we chill from 93 'til
Yo, this is how we chill, from 93 'til
Aww yeah this is how we chill from 93 'til
This is how we chill from 93 'til
Yeah this is how we chill from 93 'til
This is how.. we chill, from 93 'til

[Outro]
Hah-hah, just coolin out, y'know what I'm sayin
But, but who's chillin around the land y'know?
Yo, who's chillin? I think I know who's chillin
Yeah tell me who's chillin then then Plus

Casual - you know he's chillin
Yo, Pep Love - he gotta be chillin
Jay Biz - ya know he's chillin
Aiyyo man, my my man Snupe is chillin man
Yo Mike G - you know he's here chillin
Heh, my man Mike P - ya know he gotta chill
Del the Funky Homosapien is CHILLIN
Aiy ay my man Domino - yo he's chillin
Yeah.. it's like that, yeah..

{*ad libs as beat fades*}",souls of mischief
5440,5441,Bow Wow Featuring Jagged Edge,My Baby,Let's Get Down (feat. Baby),Bow Wow,"Huh...here i go yall

ok what is in () is what is being said in tha back ground...

Let's get down

[Baby:]

Birdman! (lady's and gentlemen) mm-huh!

Jazzy Fizzle product-shizzle my nizzle.

oh boy! wit lil bow wizzle (bow wizzle)

Ay...ay, I see you wit shorty huh.

Take her to tha mall pimp! (ah-huh)



[Bow:]

Okay!



[Baby:]

show me how lil man roll! (ooowwee!)



[Bow Wow Verse 1:]

I know this chick named Nichole

They call her boochie

didn't wanna shop nowhere but Gucci (but gucci)

And Burberry and Proda was her style (ok)

I'm tryin to tell yall that shorty could get down (uh-wow)

Conversations Amazing

In my 4, shorty's in heavy rotation (4-sho)

Thinkin to myself like, this is the one

Broke her down, told shorty how to do this hun! (4-sho)

Neva gave her tha cold shoulda'

if she's in the benz, I let her take ova' the Rova (vrrm-Vrrm!)

Then it's off to the movies, tell her

i'm like austin, Let's get Groovyyyy!

From tha movies to tha crib

Git her(?)for ya heard that's what I did, And!(ok)

I'll find me another one

more interesting, more fun

Tha man has just begun!



[Chorus]

[Bow:]

It's really, really nice to meet cha' ma (what's hap'nin)

I'm really,really diggin yo style (yo style)

Say you wanna go chill wit a balla huh (bow weezy Baby!)

Let's get Down!



[Girl:]

it's really, really nice to meet ya boy

ya know i'm really feelin yo style

ya know i wanna chill with a balla so

Lets get down!



[Baby:]

Ay! I see what cha doin' lil bow wow (uh-huh)

Ya had a date. Ya did that. Now I want you to go world wide with it.

Eastcoast, westcoast, mid-west, and down bound.



[Bow Wow Verse 2:]

I know this girl named Cindi(ok)

loves to rock Fendi (wow)

when she leaves the mall

the stores is all empty

Eastcoast,Newyork, my up town chic(wow)

I see her when i cruiz the park and 106 (holla)

Next...Her name is Ra'nette (ghetto chic)

she lives on the west side i hit the L.A.X(ok)

I'm so impressed by the way that she dress (she got gear)

She walks like a model, the girl is so fresh (so fresh)

I got a few of them, here's what I do to them (what chu' do?)

take 'um out, try to teach somethin new to them (hah-ok)

It's no thang, when you heavy in the game

I got anotha' one who loves th mid-west swang!(st, loi-e)

She's from the show-men state

So i showed her my 'b' and my quater to eight, hey!(do yo thang)

I know you cought on late

but that's 7:45

Now shorty,now let's ride

Hop in the wip!



[Chorus]



[Baby:]

Ay! now i'm about to test ya' p's lil bow wow. (uh-huh)

See lil one ova' there. She bout 25, and she been lookin at cha'.

Pull ova' there in ya ride on 22's and bust her out!



[Bow Wow Verse 3:]

I know this girl named keisha

she's no groupi

be far from the stars

22's made her choose me.

like oowwee!

tellin' all her friends in the benz

'he don't really look 16 do he?'

112, youngest thing on tha scene

couldn't believe when i seen

how she sqeezed in them jeans

looks like a tight situation

make a young man make flight reservations

just step, no intimidations

i'm bow wow boo

accept no imitations

should have seen tha looks on they faces

the Ice plus light, makes for good converation

you tellin me

it's a felony, to yell at me

I blew her mind she was dazed momentarily

but luckily

she stayed for some therapy

I stay pimpin heavily

my game spittin therolly (ha ha ha)



[Chorus]



Sha-ty (shorty) ya lookin fly boy. certified. Ya went platnium. Round tha world coast to coast.

Ya good wit me. ya get a stunna Certification. R.R.A.A. ya good playa. lil bow weezy.

it's yo turn shine baby (shine baby boy) do you lil daddy. (do U) Bow weezy baby!......

Live it up bird call baby! Sha-ty (shorty) 5ft pimpin' boy. ya good wit me lil one. let's roll!



[Girls part in chorus]",bow wow featuring jagged edge
5462,5463,M.C. Hammer,Pray,Pray,MC Hammer,"That's word,we pray(pray,pray)
We got to pray
Just to make it today
I said we pray(pray) ah,yeah,pray(pray)
We got to pray
Just to make it to pray
That's word,we pray

All my life I wanted to make it to the top
(That's word,we pray)
Some said I wouldn't
They told me no,but I didn't stop
(That's word,we pray)
Working hard,making those movies everyday
(That's word,we pray)
And on my knees every night,you know I pray

That's word,we pray(pray)
Ah,yeah,pray(pray) we got to pray
Just to make it today
I said we pray(pray) ah,yeah,pray(pray)
We got to pray
Just to make it today
That's word,we pray

Now I just think that you
Can do what ever you want
(That's word,we pray)
I'm bustin' these rhymes
Making this money and I won't
(That's word,we pray)
Forget my people or may town or my ways
(That's word,we pray)
And on my knees.every night I'm still gonna pray

That's word,we pray(pray)
Ah,yeah,pray(pray) we got to pray
Just to make it today
I said we pray(pray) ah,yeah,pray(pray)
We got to pray
Just to make it today
That's word,we pray

Time and time and time and time again
(That's word,we pray)
I kept on knocking,but
These people wouldn't let me in
(That's word,we pray)
I tried and tried and tried and tried to make a way
(That's word,we pray)
But nothing happened till that day I prayed

That's word,we pray(pray)
Ah,yeah,pray(pray) we got to pray
Just to make it today
I said we pray(pray) ah,yeah,pray(pray)
We got to pray
Just to make it today
That's word,we pray

Childrem dying,oh,so fast from this or that
(That's word,we pray)
Needing that money
Smoking that dope and doing that crack
(That's word,we pray)
Ten years old stand outside
Better look out
(That's word ,we pray)
Dead and gone,necer had a chance
What's it all about?

That's word,we pray(pray) ah,yeah,pray
We need to pray
Just to make it today
I need to pray(pray),ah,yeah,pray
We need to pray
Just to make it today
That's word,we pray

That's word,we pray( x3)

That's word,we pray(pray) ah,yeah,pray
We need to pray
Just to make it today
I need to pray(pray),ah,yeah,pray
We need to pray
Just to make it today
That's word,we pray

On a mission start to doubt.here we go
(That's word,we pray)
Kicking back,read these words we need to know
(That's word,we pray)
Living high,living good,living long
(That's word,we pray)
Take a minute,bust a prayer
And you're good to go

That's word,we pray(pray) ah,yeah,pray
We need to pray
Just to make it today
I need to pray(pray),ah,yeah,pray
We need to pray
Just to make it today
That's word,we pray

We're sending this one out to the Lord
(That's word,we pray)
And we thank you and we know we need to pray
(That's word,we pray)
Cause all the blessings that are good they come from above
(That's word,we pray)
And once again we want
To say &amp;amp;quot;thank you&amp;amp;quot; to the Lord with all our love

That's word,we pray(pray) ah,yeah,pray
We need to pray
Just to make it today
I need to pray(pray),ah,yeah,pray
We need to pray
Just to make it today
That's word,we pray

That's word,we pray(pray,pray) (x4)
That's word,we pray",m.c. hammer
5463,5464,M.C. Hammer,Have You Seen Her,Have You Seen Her,MC Hammer,"ah yeah, I'm glad I put this tape in,
I'm just gon' cruise down the road,
look at the stars in the sky,
and drift off into the sweet memorys that I have,
of a love that my heart has been searching for,
for so long, and I know somewhere,
If I keep searching, that love I'll find,
the picture grows clearer and clearer,
from the back to the front of my mind,
and like love, a love I know I'll have,
the girl that I want, she'll be mine, she'll be fly, and it'll last,

I see her face and I can't let go,
she's in my dreams and my heart, so let me know,
(have you seen her?)
have you seen her?,
(tell me have you seen her?)
I'm looking for that love,
she's a thought and a vision in my memory,
I haven't met her, but tell me where could she be,
(have you seen her?)
have you seen her?,
(tell me have you seen her?)
I'm looking for that special love,
(love, oh love, love is a feeling that I need)
love is a feeling that the Hammer definetly needs,
(please be mine)
baby be mine,
(I need your love to make it)
I need your love to make it,
so why don't you be mine,
the search is going on,
from coast to coast,
a women for the man, who's propping the most,
(have you seen her?)
have you seen her?,
(tell me have you seen her?)
my heart is beating strong,
this love cannot be wrong,
I need her and I want her, so come on to my home,
(have you seen her?)
have you seen her?,
(tell me have you seen her?)
I'm a keep looking,
at the movies, in my car, on my stero,
at a game of Different World or the Cosby Show,
(have you seen her?)
have you seen her?,
(tell me have you seen her?)
yo veo, tell me what's up,
at the track, at the club, or out buying dub,
if you've seen her, then I'll have her, cause I'm in love,
(have you seen her?)
have you seen her?,
(tell me have you seen her?)
my heart is hurting so bad,
(love, oh love, love is a feeling that I need)
love is a feeling that I know I need,
(please be mine)
be mine baby,
(I need your love to make it)
I need your love to make it,
why don't you be mine,
(baby, be mine)
where could she be?,
at the store around the corner,
or wondering at night,
or chilling with another brother holding the mic,
(have you seen her?)
have you seen her?,
(tell me have you seen her?)
Hammer, you know I'm looking,
calling all my friends all around the place,
Guy, Lavertte, or my homey Rob Base,
(have you seen her?)
have you seen her?,
(tell me have you seen her?)
if you've peeped her out, tell me,
yo, veo on the phone,
Ted, Dre, or Ed Lover,
Fab Five, homeys won't you help a young brother,
(have you seen her?)
have you seen her?,
(tell me have you seen her?)
I got a picture in my mind,
the thought is so clear of the love I need here,
like D-B magic, and why don't you appear,
(have you seen her?)
oh baby, why don't you appear,
(tell me have you seen her?)
I can see yo' face,
I'm seeing her face, again and again,
come knocking at my door, and you know I'll let you in,
(have you seen her?)
have you seen her?,
(tell me have you seen her?)
oh, my sweet love,
searching 'round the world, what more can I say?,
the girl is hard to see like an unseen VJ,
(have you seen her? tell me have you seen her? have you seen her?)",m.c. hammer
5468,5469,Beastie Boys,Ch-Check It Out,Ch-Check It Out,Beastie Boys,"All you Trekkies and TV addicts,
dont mean to dis dont mean to bring static
All you Klingons in the fucking house
grab your backstreet friend and get loud
Blowin' doors off hinges
grab you with the pinchers
and no I didn't retire
I'll snatch you up with the needle nose pliers

Like Mutual of Omaha, with the ill boat you've never seen before
Gliding in the glades, and like Lorne Greene you know I get paid
Like caprese with the basil
not goofy like Darren or Hazel
I'm a mother fucking Nick at Night
classics rerunning that you know all right.

Now remain calm no alarm cause my farm ain't fat
so whats up with that?
I've got friends and family that I respect
when I think I'm too good they put me in check
So believe when I say I'm no better than you
except when I rap so I guess it ain't true
Like that y'all and you just don't stop,
guaranteed to make your body rock.

Check-ch-check-check-check-ch-check it out
What-wha-what-what-what's it all about
Work-wa-work-work-work-wa-work it out
Let's turn this mother fucking party out

I said, Doc, what's the condition
I'm a man thats on a mission
He said Son, you'd better listen!
STUCK IN YOU'RE ASS IS AN ELECTRICIAN
Like a scientist,
mmmm when I'm applying this
method of controlling my mind
like Einstein and the Rappin' Duke combined.

Hey baby bubba now what the deal?
I didn't know you go for that mass appeal.
Some call it salugi, some hot potato
I stole your mic and you won't see it later,
'cause I work magic like a magician
I add up like a mathematician.
I'm a bank cashier,
engineer,
I wear cotton but I don't wear deeeer.

Shazam! and Abracadabra!
In the whip I'm gonna cruise past ya.
Yo money, don't chump yourself.
Put that shit back on the shelf.
Light rays blazin�
you're out of phase and
my crews amazin�.
We're working on the record yo so stay patient.

Check-ch-check-check-check-ch-check it out
What-wha-what-what-what's it all about
Work-wa-work-work-work-wa-work it out
Let's turn this motherfuckin party out

Now, I go by the name of The King Adrock.
I don't wear a cup nor a jock .
I bring the shit that's beyond bizarre,
like Miss Piggy.
Who moi?
I am the one with the Clientele.
You say, Adrock, God you rock so well.
I've got class like Pink Champale.
MCA grab the mic before the mic goes stale.

Don't test me.
They can't arrest me.
I'll fake right cross-over and shoot lefty.
You look upset yo calm down.
You look Cable Guy dunked off of your crown.
I flow like smoke out a chimney.
You never been me.
You wanna rap but what you're making ain't hip hop B.

Get your clothes right out the dryer.
Put Armor All up on your tire.
Sport that fressssshhhhhhhh attire.
Tonight we goin' out set the town on fire.
Set the town ablaze.
Gonna stun and amaze.
Ready to throw a craze.
Make your granny shake her head and say,
Those were the days.

Check-ch-check-check-check-ch-check it out
What-wha-what-what-what's it all about
Work-wa-work-work-work-wa-work it out
Let's turn this motherfuckin party out",beastie boys
5469,5470,Beastie Boys,Hey Ladies,Hey Ladies,Beastie Boys,"Hey...
Hey ladies in the place I'm callin' out to ya
There never was a city kid truer and bluer
There's more to me than you'll ever know
And I've got more hits than Sadaharu Oh
Tom Thumb Tom Cushman or Tom Foolery
Date women on T.V. with the help of Chuck Woolery
Words are flowing out just like the Grand Canyon
And I'm always out looking for a female companion
I threw the lasso around the tallest one and dragged her to the crib
I took off her moccasins and put on my bib
I'm wheelin' and dealin' I make a little bit of stealing
I'll bring you back to the place and your dress I'm peeling
Your body's on time and your mind is appealing
Staring at the cracks up there upon the ceiling
Such and such will be the bass that I'm throwing
I'm talking to a girl telling her I'm all knowing well..
She's talking to the kid to the kid
I'm telling here every lie that you know that I never did

Hey ladies *a get funky*
*All the ladies in the house*
*The ladies the ladies*

Well...
Me in the corner with a good looking daughter
I dropped my drawers and said ""welcome back Kotter""
We was cutting up the rug she started cutting up the carpet
In my apartment I begged her please stop it
The gift of gab is the gift that I have
And that girl ain't nothing but a crab
Educated no stupid yep
And when I say stupid I mean stupid fucked up
I'm not James at 15 or Chachi in charge
I'm Adam and I'm adamant about living large
With the white sassoons and the looks that kill
Makin' love in the back of my Coupe De Ville then
I met a little cutie she was all hopped up on zootie
I liked the little cutie but I kicked her in the bootie
Cause I don't kinda go for that messin' around
You be listening to my records' a number one sound
Just step to the rhythm step step to the ride
I've got an open mind so why don't you all get inside
Tune in tune on to my tune that's live
Ladies flock like bees to a hive

Hey ladies *a get funky*
Hey hey hey hey ladies
*Girls girls*
Hey hey hey hey ladies
One more time *ain't it funky now*
Hey hey hey hey hey hey hey hey ladies
*Ain't it funky*

You know that..
She's got a gold tooth you know she's hardcore
She'll show you a good time then she'll show you the door
Break up with your girl it ended in tears
Vincent Van Gogh go and mail that ear
Call her in the middle of the night when I'm drinkin'
The phone booth on the corner is damp and it's stinkin'
Said come on over it was me that she missed
I threw that trash can through her window cause you know I got dissed
Your old lady left you and you went (girls girls girls) insane
You blew yourself up in the back of the 6 train well...
Take my advice at any price a gorilla like your mother is mighty weak man
Sucking down pints till I didn't know
Woke up in the morning at the one Ton Ho
Cause I announce I like girls that bounce
With the weight that pays about a pound per ounce
Girls with curls and big long locks
And beatnik chicks just wearing their smocks
Walking high and mighty like she's number one
*She thinks she's the passionate one*

Hey ladies *a get funky*
*What's that*
*Good god*
*Good god* *Damn*
*Good god*
*Baby baby baby baby*
*Is it funky brother*
*Hee ha ha ha*
Hey hey hey hey ladies
Hey hey ladies",beastie boys
5470,5471,Beastie Boys,Intergalactic,Intergalactic,Beastie Boys,"Intergalactic Planetary Planetary Intergalactic
Another Dimension Another Dimension x5

Well now, don't you tell me to smile
You stick around, I'll make it worth your while
Got numbers beyond what you can dial
Maybe it's because I'm so versatile
Style, profile, I said
It always brings me back, when I hear 'OOH child!'
From the Hudson River out to the Nile
I'll run the marathon to the very last mile
If you battle me, I will revile
People always say my style is wild
You've got gall, you've got guile
To step to me!? I'm a rapophile!
If you want to battle you're in denial
Coming from Uranus to check my style
Go ahead, put my rhymes on trial
Cast you off into exile

Intergalactic planetary
Planetary intergalactic x2

Jazz and Awol that's our team
Step inside the party, disrupt the whole scene
When it comes to beats, well I'm a fiend
I like my sugar with coffee and cream
Got to keep it going keep it going full steam
Too sweet to be sour, too nice to be mean
On the tough guy style- I'm not too keen
To try to change the world- I will plot and scheme
Mario C likes to keep it clean
Gonna shine like a sunbeam
Keep on rapping cause that's my dream
A from Moe Dee for sticking to themes
When it comes to envy y'all is green
Jealous of the rhyme and the rhyme routine
Another dimension new galaxy
Intergalactic planetary

Intergalactic planetary
Planetary intergalactic x3

From the family tree of old school hip hop
Kick off your shoes, and relax your socks
The rhymes will spread just like a pox
'Cause the music is live like an electric shock
I am known to do the Wop
Also known for the Flintstone Flop
Tammy D getting biz on the crop
Beastie Boys known to let the beat...mmmMM 'DROP'!
When I wrote graffiti my name was Slop
If my rap's soup, my beats is stock
Step from the tables as I start to chop
I'm a lumber jack DJ Adrock
If you try to knock me you'll get mocked
I'll stir fry you in my wok
Your knees'll start shaking, and your fingers pop
Like a pinch on the neck of Mr. Spock

Intergalactic planetary
Planetary intergalactic x 5
Another dimension
Do it",beastie boys
